region,homicide_rate_mean,homicide_rate_std,homicide_rate_count,idv_mean,idv_std,idv_count,collectivism_mean,collectivism_std,collectivism_count,wvs_obedience_mean,wvs_obedience_std,wvs_obedience_count,wvs_trust_mean,wvs_trust_std,wvs_trust_count,gini_mean,gini_std,gini_count,gdp_per_capita_mean,gdp_per_capita_std,gdp_per_capita_count
East Asia,0.44,0.25,6,24.33,10.97,6,75.67,10.97,6,36.0,9.72,6,40.5,12.01,6,39.42,8.83,6,37506.33,16210.44,6
Eastern Europe,3.65,2.71,3,41.33,17.62,3,58.67,17.62,3,51.0,3.61,3,22.0,2.0,3,30.13,5.33,3,10317.0,5913.25,3
Latin America,18.1,12.63,8,23.25,13.61,8,76.75,13.61,8,54.12,6.53,8,12.12,3.31,8,46.52,3.75,8,7916.5,4174.73,8
MENA,2.25,0.92,6,34.0,8.72,6,66.0,8.72,6,68.5,4.46,6,19.67,6.22,6,38.9,5.37,6,8298.5,7559.58,6
North America,4.38,3.44,2,85.5,7.78,2,14.5,7.78,2,26.0,2.83,2,40.5,4.95,2,37.4,5.8,2,57797.5,8126.78,2
Oceania,0.93,0.08,2,84.5,7.78,2,15.5,7.78,2,21.0,1.41,2,51.5,4.95,2,33.65,0.92,2,48572.0,9175.42,2
South/SE Asia,2.6,1.82,5,26.8,13.54,5,73.2,13.54,5,62.6,3.97,5,24.0,15.95,5,37.66,2.79,5,4217.0,1844.14,5
Sub-Saharan Africa,13.0,14.85,6,30.33,17.8,6,69.67,17.8,6,65.83,7.17,6,19.0,3.03,6,42.53,10.56,6,2382.67,1857.29,6
Western Europe,0.8,0.27,10,71.6,9.8,10,28.4,9.8,10,25.6,8.42,10,48.0,16.63,10,31.27,3.45,10,57187.1,21622.81,10
