country,wvs_obedience,wvs_independence,wvs_hard_work,wvs_trust,source
Argentina,44,50,58,18,World Values Survey Wave 7 (2017-2022)
Australia,22,75,45,48,World Values Survey Wave 7 (2017-2022)
Brazil,55,42,65,8,World Values Survey Wave 7 (2017-2022)
Canada,24,72,48,44,World Values Survey Wave 7 (2017-2022)
Chile,45,50,60,15,World Values Survey Wave 7 (2017-2022)
China,52,44,79,63,World Values Survey Wave 7 (2017-2022)
Colombia,54,40,68,12,World Values Survey Wave 7 (2017-2022)
Denmark,15,85,32,73,World Values Survey Wave 7 (2017-2022)
Ecuador,62,32,65,10,World Values Survey Wave 7 (2017-2022)
Egypt,72,24,68,27,World Values Survey Wave 7 (2017-2022)
Ethiopia,72,22,70,20,World Values Survey Wave 7 (2017-2022)
France,30,70,38,23,World Values Survey Wave 7 (2017-2022)
Germany,27,72,42,45,World Values Survey Wave 7 (2017-2022)
Ghana,65,30,68,19,World Values Survey Wave 7 (2017-2022)
Hong Kong,29,60,65,40,World Values Survey Wave 7 (2017-2022)
India,65,28,66,22,World Values Survey Wave 7 (2017-2022)
Indonesia,68,25,71,10,World Values Survey Wave 7 (2017-2022)
Iran,65,30,68,15,World Values Survey Wave 7 (2017-2022)
Italy,42,58,45,29,World Values Survey Wave 7 (2017-2022)
Japan,25,62,63,36,World Values Survey Wave 7 (2017-2022)
Jordan,70,25,70,18,World Values Survey Wave 7 (2017-2022)
Kenya,68,28,72,15,World Values Survey Wave 7 (2017-2022)
Mexico,58,38,68,14,World Values Survey Wave 7 (2017-2022)
Morocco,68,28,65,14,World Values Survey Wave 7 (2017-2022)
Netherlands,22,78,35,57,World Values Survey Wave 7 (2017-2022)
New Zealand,20,78,42,55,World Values Survey Wave 7 (2017-2022)
Nigeria,70,25,72,17,World Values Survey Wave 7 (2017-2022)
Norway,18,82,28,65,World Values Survey Wave 7 (2017-2022)
Peru,60,35,65,10,World Values Survey Wave 7 (2017-2022)
Philippines,62,38,67,8,World Values Survey Wave 7 (2017-2022)
Poland,48,45,58,22,World Values Survey Wave 7 (2017-2022)
Russia,55,38,62,24,World Values Survey Wave 7 (2017-2022)
Saudi Arabia,74,22,72,28,World Values Survey Wave 7 (2017-2022)
Singapore,42,52,71,40,World Values Survey Wave 7 (2017-2022)
South Africa,52,42,60,24,World Values Survey Wave 7 (2017-2022)
South Korea,35,55,72,27,World Values Survey Wave 7 (2017-2022)
Spain,35,65,38,34,World Values Survey Wave 7 (2017-2022)
Sweden,17,83,30,62,World Values Survey Wave 7 (2017-2022)
Switzerland,24,74,40,53,World Values Survey Wave 7 (2017-2022)
Taiwan,33,58,68,37,World Values Survey Wave 7 (2017-2022)
Tanzania,68,25,70,19,World Values Survey Wave 7 (2017-2022)
Thailand,58,32,65,35,World Values Survey Wave 7 (2017-2022)
Turkey,62,35,65,16,World Values Survey Wave 7 (2017-2022)
Ukraine,50,42,60,20,World Values Survey Wave 7 (2017-2022)
United Kingdom,26,74,40,39,World Values Survey Wave 7 (2017-2022)
United States,28,68,55,37,World Values Survey Wave 7 (2017-2022)
Venezuela,55,38,60,10,World Values Survey Wave 7 (2017-2022)
Vietnam,60,30,72,45,World Values Survey Wave 7 (2017-2022)
